2020년,업무,실내습도(%),실내온도(℃),pH,EC,수온(℃),광시간(명/암),수온(℃),pH,EC,기타(수경인삼),
04월 25일,,,,,,,12/12,,,,,
04월 26일,,,,,,,12/12,,,,,
04월 27일,,67~72,20.2~21.6,6,1.1,17.7,12/12,,,,파종,
04월 28일,생육조사,68~72,20.4~21.6,6,1.1,17.5,12/12,,,,,
04월 29일,,68~72,20.4~21.6,6,1.1,17.6,12/12,,,,,
04월 30일,석가탄신일,,,,,,12/12,,,,,
05월 01일,양액교환,68~72,20.2~21.6,6,1.1,17.8,12/12,,,,새싹삼 수확,
05월 02일,,,,,,,12/12,,,,,
05월 03일,,,,,,,12/12,,,,,
05월 04일,,67~72,20.2~21.8,6,1,17.8,12/12,,,,,
05월 05일,,,,,,,12/12,,,,,
05월 06일,,,,,,,12/12,,,,,
05월 07일,,,,,,,12/12,,,,,
05월 08일,양액교환,67~72,20.2~21.8,6,1,17.5,12/12,,,,소독(석회보르도 1000ppm),
05월 09일,,,,,,,12/12,,,,,
05월 10일,,,,,,,12/12,,,,,
05월 11일,,67~73,20.2~21.8,6,1.1,17.8,12/12,,,,,
05월 12일,생육조사,67~72,20.2~21.6,5.9,1.1,17.3,12/12,,,,"재파종(스펀지에끼우기)
종자파종(천위에)",
05월 13일,,67~72,20.2~21.8,6,1.1,17.8,12/12,,,,"1℃상향설정, 육묘재배실로 이동",
05월 14일,,66~72,21.1~22.7,6,1.1,17.8,12/12,,,,,
05월 15일,양액교환,66~72,21.3~22.7,5.8,1.1,17.7,12/12,,,,,
05월 16일,,,,,,,12/12,,,,,
05월 17일,,,,,,,12/12,,,,,
05월 18일,,66~72,21.3~22.7,5.9,1,17.6,12/12,,,,"발아싹이 올라옴
육묘정식(4번방에)",
05월 19일,,67~72,21.3~22.7,5.9,1,17.2,12/12,,,,2주 간격으로 생육조사,
05월 20일,,66~72,21.3~22.7,5.9,1,17.2,12/12,,,,,
05월 21일,,66~72,20.2~22.5,5.8,1,17.8,12/12,,,,비녀형성 관찰됨,
05월 22일,양액교환,67~72,20.2~21.6,5.8,1,17.6,12/12,,,,소독(석회보르도 1000ppm),
05월 23일,,,,,,,12/12,,,,,
05월 24일,,,,,,,12/12,,,,,
05월 25일,,67~72,20.2~21.8,5.8,1,17.2,12/12,,,,,
05월 26일,,67~72,20.2~21.8,6,1.1,17.3,12/12,,,,,
05월 27일,,,,,,,12/12,,,,,
05월 28일,,67~72,20.2~21.8,6,1.1,17.5,12/12,,,,,
05월 29일,양액교환,67~72,20.2~21.8,6,1.1,17.4,12/12,,,,,
05월 30일,,67~72,20.2~21.6,6,1,17.7,12/12,,,,,
05월 31일,,,,,,,12/12,,,,,
06월 01일,,67~72,20.2~21.8,6.1,1,17.3,12/12,,,,,
06월 02일,,67~72,20.2~21.6,5.9,1,17.8,12/12,,,,,82일
06월 03일,,,,,,,12/12,,,,,
06월 04일,,66~72,20.2~21.7,6,1,17.7,12/12,,,,,
06월 05일,용수로 전환,67~72,20.2~21.8,5.9,1,17.4,12/12,,6,,,
06월 06일,,,,,,,12/12,,,,,
06월 07일,,,,,,,12/12,,,,,
06월 08일,,66~72,20.2~21.8,6,0.6,17.3,12/12,,,,,
06월 09일,수확(90일),67~72,20.4~21.7,5.9,0.6,17.3,12/12,,,,항온항습기 정지,
06월 10일,,,,,,,,,,,,
06월 11일,,,,,,,,,,,,
06월 12일,,,,,,,,,,,,
06월 13일,,,,,,,,,,,,
06월 14일,,,,,,,,,,,,
06월 15일,,,,,,,,,,,,
06월 16일,,,,,,,,,,,,
06월 17일,,,,,,,,,,,,
06월 18일,,,,,,,,,,,,
06월 19일,,,,,,,,,,,,
06월 20일,,,,,,,,,,,,
06월 21일,,,,,,,,,,,,
06월 22일,,,,,,,,,,,,
06월 23일,휴먼타파(1℃),,,,,,,,,,,
06월 24일,,,,,,,,,,,,
06월 25일,,,,,,,,,,,,
06월 26일,,,,,,,,,,,,
06월 27일,,,,,,,,,,,,
06월 28일,,,,,,,,,,,,
06월 29일,,,,,,,,,,,,
06월 30일,휴먼타파(4℃),,,,,,,,,,,
07월 01일,,,,,,,,,,,,
07월 02일,,,,,,,,,,,,
07월 03일,,,,,,,,,,,,
07월 04일,,,,,,,,,,,,
07월 05일,,,,,,,,,,,,
07월 06일,,,,,,,,,,,,
07월 07일,휴먼타파(7℃),,,,,,,,,,,
07월 08일,,,,,,,,,,,,
07월 09일,,,,,,,,,,,,
07월 10일,,,,,,,,,,,,
07월 11일,,,,,,,,,,,,
07월 12일,,,,,,,,,,,,
07월 13일,세척 및 발아,76,20.3~20.6,,,,,,,,세척 및 발아: 2판,
07월 14일,세척 및 발아,75~83,20.4~21.0,,,,,,,,세척 및 발아: 2판,
07월 15일,,,,,,,,,,,,
07월 16일,,75~83,20.4~21.0,,,,,,,,,
07월 17일,정식,80~82,20.4~21.0,,,,,,,,"온도 1도 내림, 60초/15분",
07월 18일,,,,,,,,,,,,
07월 19일,,,,,,,,,,,,
07월 20일,,,,,,,,,,,,
07월 21일,광공급,78~84,19.4~21.0,8.2,0.2,17.7,12/12,,,,pH 6.0,
07월 22일,,,,,,,12/12,,,,,
07월 23일,,75~81,19.7~21.0,6,0.3,17.5,12/12,,,,,
07월 24일,용수교환,76~81,19.7~21.8,5.8,0.3,17.6,12/12,,,,,
07월 25일,,72~80,19.7~21.0,6,0.2,17.8,12/12,,,,"생육조사(무게, 근경, 초장)",
07월 26일,,,,,,,12/12,,,,,
07월 27일,,75~80,19.7~21.2,5.9,0.2,17.7,12/12,,,,,
07월 28일,,76~80,19.7~21.0,5.6,0.2,17.3,12/12,,6,0.3,EC 0.3,
07월 29일,,,,,,,12/12,,,,,
07월 30일,,75~81,19.5~21.0,5.9,0.3,17.7,12/12,,,,,
07월 31일,양액교환,76~81,19.5~20.9,5.8,0.3,17.3,12/12,,,0.4,"EC 0.4, 60초/20분",
08월 01일,,74~81,19.4~21.0,5.9,0.4,17.7,12/12,,,,,
08월 02일,,,,,,,12/12,,,,,
08월 03일,,76~81,19.5~20.9,5.9,0.4,17.5,12/12,,,,,
08월 04일,,76~81,19.4~20.9,5.9,0.4,17.9,12/12,,,,"양액온도 1도올림, 습도 10%내림",
08월 05일,,,,,,,12/12,,,,,
08월 06일,,67~78,19.2~20.9,5.8,0.4,18.6,12/12,,,,,
